Seção;Seção_Cnae_Descrição;Grandes Setores
A;Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura, pecuária e pesca
B;Indústrias extrativas;Indústria
C;Indústria de transformação;Indústria
D;Eletricidade e gás;Indústria
E;Água, esgoto, atividades de gestão de resíduos e descontaminação;Indústria
F;Construção;Construção
G;"Comércio; reparação de veículos automotores e motocicletas";Comércio
H;Transporte, armazenagem e correio;Serviços
I;Alojamento e alimentação;Serviços
J;Informação e comunicação;Serviços
K;Atividades Financeiras, de seguros e serviços relacionados;Serviços
L;Atividades imobiliárias;Serviços
M;Atividades profissionais, científicas e técnicas;Serviços
N;Atividades administrativas e serviços complementares;Serviços
O;Administração pública, defesa e seguridade social;Serviços
P;Educação;Serviços
Q;Saúde humana e serviços sociais;Serviços
R;Artes, cultura, esporte e recreação;Serviços
S;Outras atividades de serviços;Serviços
T;Serviços domésticos;Serviços
U;Organismos internacionais e outras instituições extraterritoriais;Serviços
